Year,Month,Price
2000,2000 Jan,846.2900000000001
2000,2000 Feb,701.43
2000,2000 Mar,846.52
2000,2000 Apr,816.42
2000,2000 May,822.14
2000,2000 Jun,852.5
2000,2000 Jul,845.48
2000,2000 Aug,775.04
2000,2000 Sep,790.1
2000,2000 Oct,806.9499999999999
2000,2000 Nov,714.8599999999999
2000,2000 Dec,717.9399999999999
2001,2001 Jan,916.3599999999999
2001,2001 Feb,1097.9
2001,2001 Mar,1054.5
2001,2001 Apr,1005.5
2001,2001 May,1005.5
2001,2001 Jun,923.71
2001,2001 Jul,926.3599999999999
2001,2001 Aug,997.52
2001,2001 Sep,963.05
2001,2001 Oct,1045.48
2001,2001 Nov,1194.1399999999999
2001,2001 Dec,1290.1499999999999
2002,2002 Jan,1335.23
2002,2002 Feb,1439
2002,2002 Mar,1519.6499999999999
2002,2002 Apr,1530.55
2002,2002 May,1546.57
2002,2002 Jun,1525.95
2002,2002 Jul,1754.1699999999998
2002,2002 Aug,1855.6399999999999
2002,2002 Sep,2070.7599999999998
2002,2002 Oct,2151.4300000000003
2002,2002 Nov,1791.86
2002,2002 Dec,2013.6499999999999
2003,2003 Jan,2190.05
2003,2003 Feb,2255.8
2003,2003 Mar,1991.9
2003,2003 Apr,1981.52
2003,2003 May,1758
2003,2003 Jun,1533.71
2003,2003 Jul,1529.91
2003,2003 Aug,1584.3799999999999
2003,2003 Sep,1599.86
2003,2003 Oct,1459.52
2003,2003 Nov,1348.6
2003,2003 Dec,1590.1399999999999
2004,2004 Jan,1599.6
2004,2004 Feb,1528.6299999999999
2004,2004 Mar,1467.83
2004,2004 Apr,1389.1499999999999
2004,2004 May,1373.29
2004,2004 Jun,1348.6399999999999
2004,2004 Jul,1514.1899999999998
2004,2004 Aug,1682.6399999999999
2004,2004 Sep,1488.29
2004,2004 Oct,1441.33
2004,2004 Nov,1626.45
2004,2004 Dec,1620.1
2005,2005 Jan,1508.74
2005,2005 Feb,1586.1
2005,2005 Mar,1723.24
2005,2005 Apr,1536.95
2005,2005 May,1457.9
2005,2005 Jun,1480.6699999999998
2005,2005 Jul,1428.81
2005,2005 Aug,1409.87
2005,2005 Sep,1436.6799999999998
2005,2005 Oct,1380
2005,2005 Nov,1367.56
2005,2005 Dec,1461.57
2006,2006 Jan,1518.25
2006,2006 Feb,1482.2
2006,2006 Mar,1481.22
2006,2006 Apr,1471.56
2006,2006 May,1518.35
2006,2006 Jun,1520.86
2006,2006 Jul,1596.52
2006,2006 Aug,1495.09
2006,2006 Sep,1488.25
2006,2006 Oct,1449.26
2006,2006 Nov,1498.53
2006,2006 Dec,1629.26
2007,2007 Jan,1607.72
2007,2007 Feb,1711.95
2007,2007 Mar,1839.6799999999998
2007,2007 Apr,1897.3799999999999
2007,2007 May,1910.09
2007,2007 Jun,1927.6699999999998
2007,2007 Jul,2051.64
2007,2007 Aug,1826.43
2007,2007 Sep,1895.45
2007,2007 Oct,1878.26
2007,2007 Nov,1947.23
2007,2007 Dec,2071.9
2008,2008 Jan,2174.55
2008,2008 Feb,2501.7599999999998
2008,2008 Mar,2614.15
2008,2008 Apr,2567.55
2008,2008 May,2647
2008,2008 Jun,3071.24
2008,2008 Jul,2928.52
2008,2008 Aug,2771.29
2008,2008 Sep,2645.73
2008,2008 Oct,2194.61
2008,2008 Nov,2033.6
2008,2008 Dec,2445.1
2009,2009 Jan,2574.57
2009,2009 Feb,2622.25
2009,2009 Mar,2444.4500000000003
2009,2009 Apr,2498
2009,2009 May,2402.7599999999998
2009,2009 Jun,2631.73
2009,2009 Jul,2708.52
2009,2009 Aug,2876.3300000000004
2009,2009 Sep,3041.9500000000003
2009,2009 Oct,3253.5
2009,2009 Nov,3230.4300000000003
2009,2009 Dec,3334.5
2010,2010 Jan,3348.15
2010,2010 Feb,3067.55
2010,2010 Mar,2866.96
2010,2010 Apr,3030.7599999999998
2010,2010 May,2831.3300000000004
2010,2010 Jun,2998.9100000000003
2010,2010 Jul,3011.64
2010,2010 Aug,2897.64
2010,2010 Sep,2748.86
2010,2010 Oct,2814.4300000000003
2010,2010 Nov,2811.27
2010,2010 Dec,2980.3
2011,2011 Jan,3083.1
2011,2011 Feb,3430.3500000000004
2011,2011 Mar,3348.3900000000003
2011,2011 Apr,3085.8100000000004
2011,2011 May,3036.4300000000003
2011,2011 Jun,2973.05
2011,2011 Jul,3110.8100000000004
2011,2011 Aug,2993.52
2011,2011 Sep,2820.9500000000003
2011,2011 Oct,2638.8100000000004
2011,2011 Nov,2520.27
2011,2011 Dec,2173.14
2012,2012 Jan,2266.05
2012,2012 Feb,2313.52
2012,2012 Mar,2315
2012,2012 Apr,2197.8
2012,2012 May,2207.8300000000004
2012,2012 Jun,2191.05
2012,2012 Jul,2269.9500000000003
2012,2012 Aug,2452.04
2012,2012 Sep,2577.2
2012,2012 Oct,2409.7799999999997
2012,2012 Nov,2440.23
2012,2012 Dec,2364.8100000000004
2013,2013 Jan,2233.65
2013,2013 Feb,2167
2013,2013 Mar,2119.55
2013,2013 Apr,2265.9500000000003
2013,2013 May,2315.4300000000003
2013,2013 Jun,2248.75
2013,2013 Jul,2269.22
2013,2013 Aug,2448.73
2013,2013 Sep,2573.38
2013,2013 Oct,2702.65
2013,2013 Nov,2732.01
2013,2013 Dec,2779.14
2014,2014 Jan,2746.32
2014,2014 Feb,2940.2599999999998
2014,2014 Mar,2976.4300000000003
2014,2014 Apr,2972.9
2014,2014 May,2953.86
2014,2014 Jun,3090.1
2014,2014 Jul,3124
2014,2014 Aug,3225.19
2014,2014 Sep,3182
2014,2014 Oct,3057.7799999999997
2014,2014 Nov,2852.65
2014,2014 Dec,2919.09
2015,2015 Jan,2871.15
2015,2015 Feb,2894
2015,2015 Mar,2796.86
2015,2015 Apr,2830.05
2015,2015 May,3056.05
2015,2015 Jun,3193.68
2015,2015 Jul,3276.7799999999997
2015,2015 Aug,3093.71
2015,2015 Sep,3235.32
2015,2015 Oct,3134.73
2015,2015 Nov,3313.8100000000004
2015,2015 Dec,3300.7599999999998
2016,2016 Jan,2895
2016,2016 Feb,2860.86
2016,2016 Mar,3010.13
2016,2016 Apr,3084.38
2016,2016 May,3023.64
2016,2016 Jun,3070.55
2016,2016 Jul,2998.9
2016,2016 Aug,2993.52
2016,2016 Sep,2845.73
2016,2016 Oct,2694.62
2016,2016 Nov,2441.73
2016,2016 Dec,2268.36
2017,2017 Jan,2180.18
2017,2017 Feb,2002.95
2017,2017 Mar,2036.3899999999999
2017,2017 Apr,1952.55
2017,2017 May,1952.74
2017,2017 Jun,1956.82
2017,2017 Jul,1929.3799999999999
2017,2017 Aug,1947.57
2017,2017 Sep,1970.29
2017,2017 Oct,2085.36
2017,2017 Nov,2123.68
2017,2017 Dec,1904.6
2018,2018 Jan,1940.52
2018,2018 Feb,2109.42
2018,2018 Mar,2498.9500000000003
2018,2018 Apr,2663.52
2018,2018 May,2692.9100000000003
2018,2018 Jun,2435.71
2018,2018 Jul,2373.05
2018,2018 Aug,2208.3900000000003
2018,2018 Sep,2230.42
2018,2018 Oct,2138.9100000000003
2018,2018 Nov,2226.8100000000004
2018,2018 Dec,2256.25
2019,2019 Jan,2318.19
2019,2019 Feb,2273.84
2019,2019 Mar,2202.48
2019,2019 Apr,2370.4300000000003
2019,2019 May,2365.77
2019,2019 Jun,2467.1
2019,2019 Jul,2456.86
2019,2019 Aug,2238.59
2019,2019 Sep,2375.8
2019,2019 Oct,2474.13
2019,2019 Nov,2589.55
2019,2019 Dec,2518.38
2020,2020 Jan,2673.09
2020,2020 Feb,2825.9
2020,2020 Mar,2407.05
2020,2020 Apr,2324.29
2020,2020 May,2402.9
2020,2020 Jun,2324.82
2020,2020 Jul,2206.77
2020,2020 Aug,2482.14
2020,2020 Sep,2596.38
2020,2020 Oct,2423.55
2020,2020 Nov,2509.38
2020,2020 Dec,2581.32
2021,2021 Jan,2523.9500000000003
2021,2021 Feb,2508.84
2021,2021 Mar,2520.7799999999997
2021,2021 Apr,2419.48
2021,2021 May,2450.4500000000003
2021,2021 Jun,2407.5
2021,2021 Jul,2354.4300000000003
2021,2021 Aug,2555.86
2021,2021 Sep,2627.18
2021,2021 Oct,2632.62
2021,2021 Nov,2504.59
2021,2021 Dec,2481.9500000000003
2022,2022 Jan,2545.86
2022,2022 Feb,2681.11
2022,2022 Mar,2591.2599999999998
2022,2022 Apr,2588.1
2022,2022 May,2484.48
2022,2022 Jun,2428.38
2022,2022 Jul,2333.55
2022,2022 Aug,2385.96
2022,2022 Sep,2338.67
2022,2022 Oct,2337.71
2022,2022 Nov,2469.1
2022,2022 Dec,2538.57
2023,2023 Jan,2612.8
2023,2023 Feb,2677.79
2023,2023 Mar,2791.04
2023,2023 Apr,2924.3700000000003
